# کتاب‌های درسی رسمی — chap.sch.ir
# الگوی آدرس: http://chap.sch.ir/sites/default/files/lbooks/{term}/{cat}/C{code}.pdf
# ستون‌ها (با تب جدا شده):
# key	code	term	cat	filename	pages	print_year	override_url
# override_url = آدرس جایگزین (آینه) اگر منبع اصلی حذف شده باشد؛ «-» یعنی ندارد
shimi10	110210	1403-1404	40	شیمی-۱-دهم-تجربی-چاپ-1403-1404.pdf	136	1403	-
riazi10	110211	1403-1404	40	ریاضی-۱-دهم-تجربی-چاپ-1403-1404.pdf	176	1403	-
zist10	110216	1403-1404	40	زیست-شناسی-۱-دهم-تجربی-چاپ-1403-1404.pdf	120	1403	-
fizik10	110214	1403-1404	40	فیزیک-۱-دهم-تجربی-چاپ-1403-1404.pdf	136	1403	https://physicfa.ir/wp-content/uploads/2024/12/Physic1T-1403-1404-physicfa.pdf
shimi11	111210	1404-1405	41	شیمی-۲-یازدهم-تجربی-چاپ-1404-1405.pdf	136	1404	-
riazi11	111211	1404-1405	41	ریاضی-۲-یازدهم-تجربی-چاپ-1404-1405.pdf	176	1404	-
zist11	111216	1404-1405	41	زیست-شناسی-۲-یازدهم-تجربی-چاپ-1404-1405.pdf	168	1404	-
zamin11	111237	1404-1405	41	زمین-شناسی-یازدهم-چاپ-1404-1405.pdf	128	1404	-
fizik11	111244	1404-1405	41	فیزیک-۲-یازدهم-تجربی-چاپ-1404-1405.pdf	119	1404	-
shimi12	112210	1405-1406	712	شیمی-۳-دوازدهم-تجربی-چاپ-1405-1406.pdf	136	1405	-
riazi12	112211	1405-1406	712	ریاضی-۳-دوازدهم-تجربی-چاپ-1405-1406.pdf	160	1405	-
zist12	112216	1405-1406	712	زیست-شناسی-۳-دوازدهم-تجربی-چاپ-1405-1406.pdf	136	1405	-
fizik12	112244	1405-1406	712	فیزیک-۳-دوازدهم-تجربی-چاپ-1405-1406.pdf	143	1405	-
fizik10bak	110214	1404-1405	40	پشتیبان-فیزیک-۱-دهم-تجربی-چاپ-1404-1405.pdf	136	1404	-
