# امتحان نهایی فیزیک ۳ پایه دوازدهم — لینک‌های راستی‌آزمایی‌شده از konkur.in (صفحه ۸۹۶۹۱)
# آخرین بازبینی لینک‌ها: ۱۴۰۵/۰۷/۰۳ (2026-09-25)
# ستون‌ها (تب‌جدا): stream	month_fa	year_fa	size_hint	url	filename
# stream: T = تجربی → nahayi-fizik12/ | R = ریاضی → nahayi-fizik12/فیزیک3-مکمل-رشته-ریاضی/
# نکته: فایل تیر ۱۴۰۵ در این صفحه نیست و از صفحه ۱۲۴۹۲۷ استخراج می‌شود (حالت scrape).
T	خرداد	1404	810KB	https://dl.konkur.in/2025/07/Khordad-1404-Fizik3T-%5Bwww.konkur.in%5D.pdf	خرداد-1404-فیزیک3-تجربی.pdf
T	خرداد	1403	663KB	https://dl.konkur.in/2024/06/Khordad-1403-Fizik3T-%5Bwww.konkur.in%5D.pdf	خرداد-1403-فیزیک3-تجربی.pdf
T	خرداد	1402	1.51MB	https://dl.konkur.in/2023/05/Khordad-1402-Fizik3T-%5Bwww.konkur.in%5D.pdf	خرداد-1402-فیزیک3-تجربی.pdf
T	خرداد	1401	1.61MB	https://dl.konkur.in/2022/06/Khordad-1401-Fizik3T-%5Bwww.konkur.in%5D.pdf	خرداد-1401-فیزیک3-تجربی.pdf
T	خرداد	1400	471KB	https://dl.konkur.in/2021/05/Khordad-1400-Fizik3T-%5Bwww.konkur.in%5D.pdf	خرداد-1400-فیزیک3-تجربی.pdf
T	خرداد	1399	493KB	https://dl.konkur.in/post/Exam/12/Fizik3T/Khordad-99-Fizik3T-%5Bwww.konkur.in%5D.pdf	خرداد-1399-فیزیک3-تجربی.pdf
T	خرداد	1398	360KB	https://dl.konkur.in/post/Exam/12/Fizik3T/Khordad-98-Fizik3T-%5Bwww.konkur.in%5D.pdf	خرداد-1398-فیزیک3-تجربی.pdf
T	شهریور	1404	681KB	https://dl.konkur.in/2025/08/Shahrivar-1404-Fizik3T-%5Bwww.konkur.in%5D.pdf	شهریور-1404-فیزیک3-تجربی.pdf
T	شهریور	1403	117KB	https://dl.konkur.in/2024/08/Shahrivar-1403-Fizik3T-%5Bwww.konkur.in%5D.pdf	شهریور-1403-فیزیک3-تجربی.pdf
T	شهریور	1402	563KB	https://dl.konkur.in/2023/08/Shahrivar-1402-Fizik3T-%5Bwww.konkur.in%5D.pdf	شهریور-1402-فیزیک3-تجربی.pdf
T	شهریور	1401	788KB	https://dl.konkur.in/2022/12/Shahrivar-1401-Fizik3T-%5Bwww.konkur.in%5D.pdf	شهریور-1401-فیزیک3-تجربی.pdf
T	شهریور	1400	454KB	https://dl.konkur.in/2021/09/Shahrivar-1400-Fizik3T-%5Bwww.konkur.in%5D.pdf	شهریور-1400-فیزیک3-تجربی.pdf
T	شهریور	1399	473KB	https://dl.konkur.in/post/Exam/12/Fizik3T/Shahrivar-99-Fizik3T-%5Bwww.konkur.in%5D.pdf	شهریور-1399-فیزیک3-تجربی.pdf
T	شهریور	1398	264KB	https://dl.konkur.in/post/Exam/12/Fizik3T/Shahrivar-98-Fizik3T-%5Bwww.konkur.in%5D.pdf	شهریور-1398-فیزیک3-تجربی.pdf
T	دی	1404	776KB	https://dl.konkur.in/2025/12/Dey-1404-Fizik3T-%5Bwww.konkur.in%5D.pdf	دی-1404-فیزیک3-تجربی.pdf
T	دی	1403	84KB	https://dl.konkur.in/2025/02/Dey-1403-Fizik3T-%5Bwww.konkur.in%5D.pdf	دی-1403-فیزیک3-تجربی.pdf
T	دی	1402	747KB	https://dl.konkur.in/2024/01/Dey-1402-Fizik3T-%5Bwww.konkur.in%5D.pdf	دی-1402-فیزیک3-تجربی.pdf
T	دی	1401	919KB	https://dl.konkur.in/2023/01/Dey-1401-Fizik3T-%5Bwww.konkur.in%5D.pdf	دی-1401-فیزیک3-تجربی.pdf
T	دی	1400	426KB	https://dl.konkur.in/2022/01/Dey-1400-Fizik3T-%5Bwww.konkur.in%5D.pdf	دی-1400-فیزیک3-تجربی.pdf
T	دی	1399	375KB	https://dl.konkur.in/2021/01/Dey-99-Fizik3T-%5Bwww.konkur.in%5D.pdf	دی-1399-فیزیک3-تجربی.pdf
T	دی	1398	671KB	https://dl.konkur.in/post/Exam/12/Fizik3T/Dey-98-Fizik3T-%5Bwww.konkur.in%5D.pdf	دی-1398-فیزیک3-تجربی.pdf
T	دی	1397	211KB	https://dl.konkur.in/post/Exam/12/Fizik3T/Dey-97-Fizik3T-%5Bwww.konkur.in%5D.pdf	دی-1397-فیزیک3-تجربی.pdf
R	خرداد	1404	574KB	https://dl.konkur.in/2025/07/Khordad-1404-Fizik3R-%5Bwww.konkur.in%5D.pdf	خرداد-1404-فیزیک3-ریاضی.pdf
R	خرداد	1403	525KB	https://dl.konkur.in/2024/06/Khordad-1403-Fizik3R-%5Bwww.konkur.in%5D.pdf	خرداد-1403-فیزیک3-ریاضی.pdf
R	خرداد	1402	638KB	https://dl.konkur.in/2023/05/Khordad-1402-Fizik3R-%5Bwww.konkur.in%5D.pdf	خرداد-1402-فیزیک3-ریاضی.pdf
R	خرداد	1401	718KB	https://dl.konkur.in/2022/06/Khordad-1401-Fizik3R-%5Bwww.konkur.in%5D.pdf	خرداد-1401-فیزیک3-ریاضی.pdf
R	خرداد	1400	415KB	https://dl.konkur.in/2021/05/Khordad-1400-Fizik3R-%5Bwww.konkur.in%5D.pdf	خرداد-1400-فیزیک3-ریاضی.pdf
R	خرداد	1399	320KB	https://dl.konkur.in/post/Exam/12/Fizik3R/Khordad-99-Fizik3R-%5Bwww.konkur.in%5D.pdf	خرداد-1399-فیزیک3-ریاضی.pdf
R	خرداد	1398	272KB	https://dl.konkur.in/post/Exam/12/Fizik3R/Khordad-98-Fizik3R-%5Bwww.konkur.in%5D.pdf	خرداد-1398-فیزیک3-ریاضی.pdf
R	شهریور	1404	527KB	https://dl.konkur.in/2025/08/Shahrivar-1404-Fizik3R-%5Bwww.konkur.in%5D.pdf	شهریور-1404-فیزیک3-ریاضی.pdf
R	شهریور	1403	108KB	https://dl.konkur.in/2024/08/Shahrivar-1403-Fizik3R-%5Bwww.konkur.in%5D.pdf	شهریور-1403-فیزیک3-ریاضی.pdf
R	شهریور	1402	754KB	https://dl.konkur.in/2023/08/Shahrivar-1402-Fizik3R-%5Bwww.konkur.in%5D.pdf	شهریور-1402-فیزیک3-ریاضی.pdf
R	شهریور	1401	618KB	https://dl.konkur.in/2022/12/Shahrivar-1401-Fizik3R-%5Bwww.konkur.in%5D.pdf	شهریور-1401-فیزیک3-ریاضی.pdf
R	شهریور	1400	363KB	https://dl.konkur.in/2021/09/Shahrivar-1400-Fizik3R-%5Bwww.konkur.in%5D.pdf	شهریور-1400-فیزیک3-ریاضی.pdf
R	شهریور	1399	312KB	https://dl.konkur.in/post/Exam/12/Fizik3R/Shahrivar-99-Fizik3R-%5Bwww.konkur.in%5D.pdf	شهریور-1399-فیزیک3-ریاضی.pdf
R	شهریور	1398	297KB	https://dl.konkur.in/post/Exam/12/Fizik3R/Shahrivar-98-Fizik3R-%5Bwww.konkur.in%5D.pdf	شهریور-1398-فیزیک3-ریاضی.pdf
R	دی	1404	668KB	https://dl.konkur.in/2025/12/Dey-1404-Fizik3R-%5Bwww.konkur.in%5D.pdf	دی-1404-فیزیک3-ریاضی.pdf
R	دی	1403	81KB	https://dl.konkur.in/2025/02/Dey-1403-Fizik3R-%5Bwww.konkur.in%5D.pdf	دی-1403-فیزیک3-ریاضی.pdf
R	دی	1402	677KB	https://dl.konkur.in/2024/01/Dey-1402-Fizik3R-%5Bwww.konkur.in%5D.pdf	دی-1402-فیزیک3-ریاضی.pdf
R	دی	1401	1012KB	https://dl.konkur.in/2023/01/Dey-1401-Fizik3R-%5Bwww.konkur.in%5D.pdf	دی-1401-فیزیک3-ریاضی.pdf
R	دی	1400	281KB	https://dl.konkur.in/2022/01/Dey-1400-Fizik3R-%5Bwww.konkur.in%5D.pdf	دی-1400-فیزیک3-ریاضی.pdf
R	دی	1399	293KB	https://dl.konkur.in/2021/01/Dey-99-Fizik3R-%5Bwww.konkur.in%5D.pdf	دی-1399-فیزیک3-ریاضی.pdf
R	دی	1398	468KB	https://dl.konkur.in/post/Exam/12/Fizik3R/Dey-98-Fizik3R-%5Bwww.konkur.in%5D.pdf	دی-1398-فیزیک3-ریاضی.pdf
R	دی	1397	220KB	https://dl.konkur.in/post/Exam/12/Fizik3R/Dey-97-Fizik3R-%5Bwww.konkur.in%5D.pdf	دی-1397-فیزیک3-ریاضی.pdf
